s,s,s,0.0874076,14.7295,-0.257109,s,s,0.34,s,s,s,-1
s,s,s,0.087086,6.74241,-0.117699,s,s,0.74,s,s,s,-1
s,s,s,0.133916,6.72964,-0.11749,s,s,1.14,s,s,s,-1
s,s,s,0.179559,6.72258,-0.117385,s,s,1.53,s,s,s,-1
s,s,s,0.22615,6.71117,-0.11721,s,s,1.93,s,s,s,-1
s,s,s,0.273931,6.76142,-0.118118,s,s,2.32,s,s,s,-1
s,s,s,0,0,0,s,s,2.72,s,s,s,-1
s,s,s,0.806125,14.7417,-0.257702,s,s,3.13,s,s,s,-1
s,s,s,0.91799,14.9235,-0.260983,s,s,3.52,s,s,s,-1
s,s,s,1.02489,14.9566,-0.261681,s,s,3.92,s,s,s,-1
s,s,s,1.13591,15.0369,-0.263217,s,s,4.32,s,s,s,-1
s,s,s,1.23659,15.041,-0.263427,s,s,4.7,s,s,s,-1
s,s,s,1.34419,15.0317,-0.263427,s,s,5.11,s,s,s,-1
s,s,s,1.44782,15.0362,-0.263671,s,s,5.5,s,s,s,-1
s,s,s,1.55105,14.9836,-0.262938,s,s,5.91,s,s,s,-1
s,s,s,1.65937,15.0304,-0.26395,s,s,6.3,s,s,s,-1
s,s,s,1.77693,15.1035,-0.265451,s,s,6.71,s,s,s,-1
s,s,s,1.88915,15.1886,-0.267161,s,s,7.09,s,s,s,-1
s,s,s,1.99618,15.183,-0.267301,s,s,7.49,s,s,s,-1
s,s,s,2.11596,15.2294,-0.268383,s,s,7.91,s,s,s,-1
s,s,s,2.23969,15.3713,-0.271141,s,s,8.29,s,s,s,-1
s,s,s,2.35813,15.4285,-0.272432,s,s,8.69,s,s,s,-1
s,s,s,2.47431,15.4649,-0.273374,s,s,9.09,s,s,s,-1
s,s,s,2.56544,15.3305,-0.271315,s,s,9.5,s,s,s,-1
s,s,s,2.69819,15.4599,-0.273933,s,s,9.9,s,s,s,-1
s,s,s,2.83885,15.6522,-0.277668,s,s,10.28,s,s,s,-1
s,s,s,2.96065,15.6988,-0.278855,s,s,10.68,s,s,s,-1
s,s,s,3.08017,15.7288,-0.279762,s,s,11.08,s,s,s,-1
s,s,s,3.20104,15.7618,-0.280739,s,s,11.48,s,s,s,-1
s,s,s,3.35,15.9107,-0.283811,s,s,11.89,s,s,s,-1
s,s,s,3.45695,15.8816,-0.283706,s,s,12.28,s,s,s,-1
s,s,s,3.59057,15.9586,-0.285521,s,s,12.68,s,s,s,-1
s,s,s,3.71185,15.976,-0.286289,s,s,13.08,s,s,s,-1
s,s,s,3.83448,16.0087,-0.287336,s,s,13.47,s,s,s,-1
s,s,s,3.96285,16.0371,-0.288349,s,s,13.88,s,s,s,-1
s,s,s,4.0798,16.0408,-0.288907,s,s,14.27,s,s,s,-1
s,s,s,4.20485,16.0622,-0.289815,s,s,14.67,s,s,s,-1
s,s,s,4.35328,16.1676,-0.292258,s,s,15.07,s,s,s,-1
s,s,s,4.49911,16.2563,-0.294422,s,s,15.47,s,s,s,-1
s,s,s,4.6464,16.3438,-0.296586,s,s,15.87,s,s,s,-1
s,s,s,4.76487,16.3263,-0.296865,s,s,16.27,s,s,s,-1
s,s,s,0,0,0,s,s,16.67,s,s,s,-1
s,s,s,0,0,0,s,s,17.07,s,s,s,-1
s,s,s,0,0,0,s,s,17.45,s,s,s,-1
s,s,s,0,0,0,s,s,17.85,s,s,s,-1
s,s,s,0.164699,0.499466,-0.00917997,s,s,18.25,s,s,s,-1
s,s,s,0.168182,0.498304,-0.00917997,s,s,18.65,s,s,s,-1
s,s,s,0.163824,0.474435,-0.00876111,s,s,19.05,s,s,s,-1
s,s,s,0.183023,0.518566,-0.00959882,s,s,19.44,s,s,s,-1
s,s,s,0.174422,0.483417,-0.00897054,s,s,19.84,s,s,s,-1
s,s,s,0.187478,0.508455,-0.0094592,s,s,20.24,s,s,s,-1
s,s,s,0.188204,0.499648,-0.00931959,s,s,20.64,s,s,s,-1
s,s,s,0.188098,0.48899,-0.00914506,s,s,21.04,s,s,s,-1
s,s,s,0.195162,0.496972,-0.00931959,s,s,21.44,s,s,s,-1
s,s,s,0.197882,0.493741,-0.00928468,s,s,21.84,s,s,s,-1
s,s,s,0.189134,0.462766,-0.0087262,s,s,22.23,s,s,s,-1
s,s,s,0.202447,0.485393,-0.00917997,s,s,22.64,s,s,s,-1
s,s,s,0.205747,0.484004,-0.00917997,s,s,23.03,s,s,s,-1
s,s,s,0,0,0,s,s,23.43,s,s,s,-1
s,s,s,0,0,0,s,s,23.83,s,s,s,-1
s,s,s,0,0,0,s,s,24.23,s,s,s,-1
s,s,s,0,0,0,s,s,24.63,s,s,s,-1
s,s,s,0,0,0,s,s,25.03,s,s,s,-1
