Angle: 35.49000935634645, Azimuth: 54.51
Angle: 35.11005906337475, Azimuth: 54.89
Angle: 34.699970979898076, Azimuth: 55.3
Angle: 34.310044010578956, Azimuth: 55.69
Angle: 33.91001996896887, Azimuth: 56.09
Angle: 33.4999976093554, Azimuth: 56.5
Angle: 33.10994938190713, Azimuth: 56.89
Angle: 32.700042407437216, Azimuth: 57.3
Angle: 32.3101134679618, Azimuth: 57.69
Angle: 31.899919480252738, Azimuth: 58.1
Angle: 31.520100468670314, Azimuth: 58.48
Angle: 31.119973322146407, Azimuth: 58.88
Angle: 30.72005869576639, Azimuth: 59.28
Angle: 0.0, Azimuth: 59.68
Angle: 0.0, Azimuth: 60.08
Angle: 0.0, Azimuth: 60.48
Angle: 29.120041402211044, Azimuth: 60.88
Angle: 0.0, Azimuth: 61.27
Angle: 0.0, Azimuth: 61.68
Angle: 0.0, Azimuth: 62.07
Angle: 27.530051989213597, Azimuth: 62.47
Angle: 27.12999691567909, Azimuth: 62.87
Angle: 0.0, Azimuth: 63.27
Angle: 0.0, Azimuth: 63.67
Angle: 0.0, Azimuth: 64.05
Angle: 25.55003869262655, Azimuth: 64.45
Angle: 0.0, Azimuth: 64.86
Angle: 24.74999468046512, Azimuth: 65.25
Angle: 24.35003937662744, Azimuth: 65.65
Angle: 23.950049247159672, Azimuth: 66.05
Angle: 23.549975460537777, Azimuth: 66.45
Angle: 23.16003879893173, Azimuth: 66.84
Angle: 22.760050827674554, Azimuth: 67.24
Angle: 22.359939546855657, Azimuth: 67.64
Angle: 0.0, Azimuth: 68.04
Angle: 21.56000805241374, Azimuth: 68.44
Angle: 21.160008505043677, Azimuth: 68.84
Angle: 20.7699680478136, Azimuth: 69.23
Angle: 20.37006302284217, Azimuth: 69.63
Angle: 0.0, Azimuth: 70.03
Angle: 0.0, Azimuth: 70.44
Angle: 0.0, Azimuth: 70.83
Angle: 0.0, Azimuth: 71.23
Angle: 0.0, Azimuth: 71.63
Angle: 0.0, Azimuth: 72.02
Angle: 0.0, Azimuth: 72.42
Angle: 0.0, Azimuth: 72.82
Angle: 0.0, Azimuth: 73.22
Angle: 0.0, Azimuth: 73.62
Angle: 0.0, Azimuth: 74.02
Angle: 0.0, Azimuth: 74.42
Angle: 0.0, Azimuth: 74.82
Angle: 0.0, Azimuth: 75.22
Angle: 0.0, Azimuth: 75.62
Angle: 0.0, Azimuth: 76.01
Angle: 0.0, Azimuth: 76.4
Angle: 0.0, Azimuth: 76.8
Angle: 0.0, Azimuth: 77.19
Angle: 0.0, Azimuth: 77.6
Angle: 12.009989726992801, Azimuth: 77.99
Angle: 0.0, Azimuth: 78.41
Angle: 11.210026497782357, Azimuth: 78.79
Angle: 0.0, Azimuth: 79.2
Angle: 0.0, Azimuth: 79.59
Angle: 0.0, Azimuth: 80.0
Angle: 0.0, Azimuth: 80.4
Angle: 0.0, Azimuth: 80.78
Angle: 0.0, Azimuth: 81.18
Angle: 0.0, Azimuth: 81.58
Angle: 0.0, Azimuth: 81.98
Angle: 0.0, Azimuth: 82.38
Angle: 0.0, Azimuth: 82.79
Angle: 0.0, Azimuth: 83.18
Angle: 0.0, Azimuth: 83.57
Angle: 0.0, Azimuth: 83.97
Angle: 0.0, Azimuth: 84.37
Angle: 0.0, Azimuth: 84.77
Angle: 0.0, Azimuth: 85.17
Angle: 0.0, Azimuth: 85.56
Angle: 0.0, Azimuth: 85.96
Angle: 0.0, Azimuth: 86.36
Angle: 0.0, Azimuth: 86.75
Angle: 0.0, Azimuth: 87.14
Angle: 0.0, Azimuth: 87.56
Angle: 0.0, Azimuth: 87.94
Angle: 0.0, Azimuth: 88.36
Angle: 0.0, Azimuth: 88.75
Angle: 0.0, Azimuth: 89.15
Angle: 0.0, Azimuth: 89.55
Angle: 0.0, Azimuth: 89.94
Angle: 0.0, Azimuth: 90.34
Angle: 0.0, Azimuth: 90.73
Angle: 0.0, Azimuth: 91.14
Angle: 0.0, Azimuth: 91.53
Angle: 0.0, Azimuth: 91.93
Angle: 0.0, Azimuth: 92.33
Angle: 0.0, Azimuth: 92.73
Angle: 0.0, Azimuth: 93.13
Angle: 0.0, Azimuth: 93.53
Angle: 0.0, Azimuth: 93.92
Angle: 0.0, Azimuth: 94.32
Angle: 0.0, Azimuth: 94.72
Angle: 0.0, Azimuth: 95.12
Angle: 0.0, Azimuth: 95.52
Angle: 0.0, Azimuth: 95.92
Angle: 0.0, Azimuth: 96.3
Angle: 0.0, Azimuth: 96.7
Angle: 0.0, Azimuth: 97.11
Angle: 0.0, Azimuth: 97.51
Angle: 0.0, Azimuth: 97.89
Angle: 0.0, Azimuth: 98.31
Angle: 0.0, Azimuth: 98.69
Angle: 0.0, Azimuth: 99.09
Angle: 0.0, Azimuth: 99.5
Angle: 0.0, Azimuth: 99.88
